year,fage,firms,estabs,emp
2007,1,411315,417387,2771495
2007,2,342438,352469,2710059
2007,3,296766,305102,2541947
2007,4,247766,257125,2306195
2007,5,224478,236985,2578670
2007,6-10,888352,962267,10690871
2007,11-15,652707,750361,10004394
2007,16-20,493779,603441,9696396
2007,21-25,395190,506983,9194099
2007,26+,262765,378989,7682123
2007,Left Censored,567710,1632923,56917481
2008,0,471806,477391,2535370
2008,1,382798,389032,2548621
2008,2,339955,347752,2516026
2008,3,293934,305058,2532604
2008,4,260031,269449,2383309
2008,5,220997,231510,2149617
2008,6-10,866140,938027,10638458
2008,11-15,661660,759353,10078602
2008,16-20,481185,577206,9022181
2008,21-25,404535,524674,9940542
2008,26+,306333,440697,8931814
2008,Left Censored,542802,1615259,56302842
2009,0,395780,401218,2201098
2009,1,351846,358457,2266356
2009,2,312609,319396,2219812
2009,3,291043,299408,2217248
2009,4,256436,268119,2243228
2009,5,229568,239623,2107712
2009,6-10,843981,910543,9638250
2009,11-15,658035,756659,9567160
2009,16-20,472291,562608,8053266
2009,21-25,407448,531641,9666850
2009,26+,350528,506009,9838750
2009,Left Censored,520708,1586111,53670997
2010,0,379699,388434,2256395
2010,1,300100,306724,2046914
2010,2,296884,304309,2092071
2010,3,272428,280003,2068383
2010,4,258677,267738,2060838
2010,5,230393,242639,2096933
2010,6-10,855337,918358,9449139
2010,11-15,644788,738037,9020759
2010,16-20,470833,564001,7757266
2010,21-25,389893,510683,9087569
2010,26+,418296,598411,11523298
2010,Left Censored,501499,1552496,51852331
2011,0,396280,398705,2096179
2011,1,288254,297897,2167522
2011,2,258526,266332,1980352
2011,3,262691,271204,2025318
2011,4,245101,253649,2006597
2011,5,234408,244213,2003879
2011,6-10,873369,936636,9544917
2011,11-15,629295,718542,8996761
2011,16-20,472627,568290,7938582
2011,21-25,386281,508320,9000672
2011,26+,467480,672541,13037938
2011,Left Censored,481521,1532063,52081898
2012,0,409181,413846,2256799
2012,1,308199,313091,2074522
2012,2,251042,261306,2158482
2012,3,232378,240888,1962667
2012,4,239948,249447,2009828
2012,5,226011,235185,1995823
2012,6-10,907045,968194,9824509
2012,11-15,620785,702241,8844647
2012,16-20,483596,580531,8347829
2012,21-25,379191,488930,8398030
2012,26+,520490,746019,15105289
2012,Left Censored,464802,1513880,52371964
2013,0,406030,408940,2146295
2013,1,318665,324392,2241248
2013,2,268112,273648,2064363
2013,3,224835,235609,2134371
2013,4,211620,220949,1941074
2013,5,221158,231263,1969065
2013,6-10,918399,976523,9654094
2013,11-15,618289,697762,9004977
2013,16-20,495649,594810,8616146
2013,21-25,372689,470906,7908656
2013,26+,565311,821405,17222900
2013,Left Censored,446767,1496868,52698804
2014,0,412791,418376,2284847
2014,1,316420,320518,2154257
2014,2,277375,284131,2253191
2014,3,239688,245948,2051654
2014,4,204414,216056,2129933
2014,5,194511,205109,1941063
2014,6-10,928722,987672,9844141
2014,11-15,618846,695774,8890932
2014,16-20,503392,607030,9019174
2014,21-25,370611,463601,7678253
2014,26+,607231,893934,19107020
2014,Left Censored,430516,1487992,52768810
2015,0,422049,426848,2315327
2015,1,324938,331787,2311103
2015,2,277177,282616,2136888
2015,3,249298,256974,2252935
2015,4,218542,225423,2046309
2015,5,188053,200745,2145193
2015,6-10,903047,962542,9867865
2015,11-15,636301,713416,9230130
2015,16-20,499775,602165,8969734
2015,21-25,371036,470359,7800394
2015,26+,646875,968257,21046522
2015,Left Censored,414081,1468873,53108144
2016,0,443865,447447,2336052
2016,1,331496,337710,2328086
2016,2,285794,294321,2311236
2016,3,249363,256070,2099932
2016,4,227868,237048,2257732
2016,5,201134,209292,2044133
2016,6-10,869376,933116,9915774
2016,11-15,657555,734032,9440759
2016,16-20,493026,592320,8974417
2016,21-25,375466,480021,7994658
2016,26+,684992,1038998,22716137
2016,Left Censored,398447,1477495,53334054
2017,0,440210,444934,2324577
2017,1,347410,353621,2350790
2017,2,290392,297599,2329986
2017,3,256342,265769,2270992
2017,4,226702,234068,2047581
2017,5,208596,218798,2237335
2017,6-10,838532,901842,9828331
2017,11-15,681057,758534,9622521
2017,16-20,482802,580733,8812639
2017,21-25,381490,490261,8540683
2017,26+,715634,1088087,23971390
2017,Left Censored,382731,1444101,53150970
2018,0,442641,445101,2426405
2018,1,344683,349735,2372971
2018,2,304416,310473,2317478
2018,3,260934,268548,2289811
2018,4,232443,242554,2247309
2018,5,207705,215347,2046048
2018,6-10,825640,885025,10090330
2018,11-15,688624,758384,9419379
2018,16-20,480480,573782,8898798
2018,21-25,389665,502545,8829104
2018,26+,742594,1135287,25575226
2018,Left Censored,368034,1413708,53195244
2019,0,453851,456238,2441428
2019,1,346939,349841,2450725
2019,2,304225,309163,2360528
2019,3,274339,280618,2293933
2019,4,238648,246558,2257143
2019,5,213852,224177,2212515
2019,6-10,816808,871846,10097570
2019,11-15,693122,761183,9317682
2019,16-20,478533,570400,8822243
2019,21-25,393711,508176,9290229
2019,26+,768643,1187313,27234080
2019,Left Censored,354345,1399758,53151431
2020,0,456698,460762,2397399
2020,1,350454,353370,2405805
2020,2,302450,305877,2378799
2020,3,271655,276886,2317521
2020,4,248900,255668,2255470
2020,5,217892,225954,2186112
2020,6-10,826113,885095,10235020
2020,11-15,665926,732271,9122529
2020,16-20,486490,575073,8745991
2020,21-25,385874,495933,9093164
2020,26+,790251,1232047,28604847
2020,Left Censored,338898,1377683,52991077
2021,0,476071,479347,2182842
2021,1,352284,357066,2341703
2021,2,314191,317576,2274927
2021,3,275397,279358,2248940
2021,4,250128,256302,2181399
2021,5,229975,237438,2103398
2021,6-10,849183,898488,9592408
2021,11-15,632891,704549,8601935
2021,16-20,495082,578719,8401544
2021,21-25,373589,477686,7949876
2021,26+,806180,1268303,28635426
2021,Left Censored,322336,1338579,50350367
